,playerID,yearID,teamID,G,AB,R,H,RBI,BB,HBP,BA,OBP,batter,WH,AB_1-9,IABA,team
60,beltbr01,2017,SFN,104,382,63,92,51.0,66,2.0,0.24083769633507854,0.35555555555555557,474832,409.0,364,1.1236263736263736,SF
61,beltbr01,2018,SFN,112,399,50,101,46.0,49,6.0,0.2531328320802005,0.3436123348017621,474832,472.0,383,1.2323759791122715,SF
62,beltrad01,2015,TEX,143,567,83,163,83.0,41,3.0,0.2874779541446208,0.33878887070376434,134181,754.0,572,1.3181818181818181,TEX
63,beltrad01,2016,TEX,153,583,89,175,104.0,48,6.0,0.30017152658662094,0.35949764521193095,134181,875.0,587,1.4906303236797274,TEX
64,beltrad01,2017,TEX,94,340,47,106,71.0,39,4.0,0.31176470588235294,0.38903394255874674,134181,467.0,335,1.3940298507462687,TEX
65,beltrad01,2018,TEX,119,433,49,118,65.0,34,6.0,0.27251732101616627,0.33403805496828753,134181,584.0,430,1.3581395348837209,TEX
66,beltrca01,2015,NYA,133,478,57,132,67.0,45,2.0,0.27615062761506276,0.34095238095238095,136860,615.0,472,1.3029661016949152,NYY
67,beltrca01,2016,NYA,99,359,50,109,64.0,22,2.0,0.30362116991643456,0.3472584856396867,136860,749.0,555,1.3495495495495495,TEX
68,beltrca01,2016,NYA,99,359,50,109,64.0,22,2.0,0.30362116991643456,0.3472584856396867,136860,749.0,555,1.3495495495495495,NYY
69,beltrca01,2017,HOU,129,467,60,108,51.0,33,3.0,0.23126338329764454,0.28628230616302186,136860,562.0,483,1.1635610766045548,HOU
70,bettsmo01,2015,BOS,145,597,92,174,77.0,46,2.0,0.2914572864321608,0.34418604651162793,605141,779.0,584,1.3339041095890412,BOS
71,bettsmo01,2016,BOS,158,672,122,214,113.0,49,2.0,0.31845238095238093,0.3665283540802213,605141,909.0,673,1.3506686478454681,BOS
72,bettsmo01,2017,BOS,153,628,101,166,102.0,77,2.0,0.2643312101910828,0.3465346534653465,605141,754.0,618,1.220064724919094,BOS
73,bettsmo01,2018,BOS,136,520,129,180,80.0,81,8.0,0.34615384615384615,0.44170771756978655,605141,837.0,564,1.4840425531914894,BOS
74,blackch02,2015,COL,157,614,93,176,58.0,46,13.0,0.28664495114006516,0.3491827637444279,453568,756.0,609,1.2413793103448276,COL
75,blackch02,2016,COL,143,578,111,187,82.0,43,13.0,0.3235294117647059,0.3832807570977918,453568,787.0,570,1.380701754385965,COL
76,blackch02,2017,COL,159,644,137,213,104.0,65,10.0,0.3307453416149068,0.40055632823365783,453568,926.0,639,1.4491392801251957,COL
77,blackch02,2018,COL,156,626,119,182,70.0,59,8.0,0.29073482428115016,0.3593073593073593,453568,817.0,633,1.2906793048973144,COL
78,blancan01,2015,PHI,106,233,32,68,25.0,21,4.0,0.2918454935622318,0.36046511627906974,433217,375.0,228,1.644736842105263,PHI
79,blancgr01,2015,SFN,115,327,59,95,26.0,40,2.0,0.290519877675841,0.3712737127371274,453923,505.0,321,1.573208722741433,SF
80,blancgr01,2016,SFN,106,241,28,54,18.0,29,1.0,0.22406639004149378,0.30996309963099633,453923,296.0,244,1.2131147540983607,SF
81,blancgr01,2017,ARI,90,224,43,55,13.0,31,0.0,0.24553571428571427,0.33725490196078434,453923,236.0,222,1.063063063063063,ARI
82,bogaexa01,2015,BOS,156,613,84,196,81.0,32,3.0,0.3197389885807504,0.35648148148148145,593428,895.0,600,1.4916666666666667,BOS
83,bogaexa01,2016,BOS,157,652,115,192,89.0,58,6.0,0.294478527607362,0.3575418994413408,593428,885.0,651,1.359447004608295,BOS
84,bogaexa01,2017,BOS,148,571,94,156,62.0,56,6.0,0.2732049036777583,0.344391785150079,593428,691.0,573,1.205933682373473,BOS
85,bogaexa01,2018,BOS,136,513,72,148,103.0,55,6.0,0.2884990253411306,0.3641114982578397,593428,725.0,558,1.299283154121864,BOS
86,bourju01,2015,MIA,129,409,42,107,73.0,34,2.0,0.2616136919315403,0.32134831460674157,571506,489.0,403,1.2133995037220844,MIA
87,bourju01,2016,MIA,90,280,35,74,51.0,38,0.0,0.2642857142857143,0.3522012578616352,571506,309.0,279,1.10752688172043,MIA
88,bourju01,2017,MIA,108,377,52,109,83.0,47,1.0,0.2891246684350133,0.36941176470588233,571506,504.0,371,1.3584905660377358,MIA
89,bourju01,2018,MIA,112,374,43,85,54.0,69,1.0,0.22727272727272727,0.3490990990990991,571506,408.0,417,0.9784172661870504,PHI
90,bourju01,2018,MIA,112,374,43,85,54.0,69,1.0,0.22727272727272727,0.3490990990990991,571506,408.0,417,0.9784172661870504,MIA
91,bournmi01,2015,CLE,95,289,29,71,19.0,29,0.0,0.24567474048442905,0.31446540880503143,456422,496.0,422,1.1753554502369667,ATL
92,bournmi01,2015,CLE,95,289,29,71,19.0,29,0.0,0.24567474048442905,0.31446540880503143,456422,496.0,422,1.1753554502369667,CLE
93,bournmi01,2016,ARI,89,329,43,86,30.0,22,0.0,0.2613981762917933,0.3076923076923077,456422,477.0,369,1.2926829268292683,BAL
94,bournmi01,2016,ARI,89,329,43,86,30.0,22,0.0,0.2613981762917933,0.3076923076923077,456422,477.0,369,1.2926829268292683,ARI
