,playerID,yearID,teamID,G,AB,R,H,RBI,BB,HBP,BA,OBP
101009,robincl01,2015,WAS,126,309,44,84,34.0,37,5.0,0.27184466019417475,0.358974358974359
101015,rodrial01,2015,NYA,151,523,83,131,86.0,84,6.0,0.25047801147227533,0.3605220228384992
101019,rodrise01,2015,PIT,139,224,25,55,17.0,5,6.0,0.24553571428571427,0.28085106382978725
101027,rolliji01,2015,LAN,144,517,71,116,41.0,44,0.0,0.22437137330754353,0.28520499108734404
101039,rosared01,2015,MIN,122,453,60,121,50.0,15,0.0,0.2671081677704194,0.2905982905982906
101040,rosarwi01,2015,COL,87,231,22,62,29.0,8,1.0,0.2683982683982684,0.29583333333333334
101051,rufda01,2015,PHI,106,268,30,63,39.0,21,5.0,0.23507462686567165,0.30272108843537415
101054,ruizca01,2015,PHI,86,284,23,60,22.0,28,4.0,0.2112676056338028,0.2911392405063291
101056,ruppca01,2015,PHI,81,270,24,63,28.0,24,3.0,0.23333333333333334,0.30303030303030304
101058,russead02,2015,CHN,142,475,60,115,54.0,42,3.0,0.24210526315789474,0.3076923076923077
101067,saladty01,2015,CHA,68,236,33,53,20.0,12,2.0,0.2245762711864407,0.268
101077,sanchca01,2015,CHA,120,389,40,87,31.0,19,5.0,0.2236503856041131,0.2687651331719128
101081,sandopa01,2015,BOS,126,470,43,115,47.0,25,7.0,0.24468085106382978,0.29282868525896416
101083,sanomi01,2015,MIN,80,279,46,75,52.0,53,1.0,0.26881720430107525,0.38738738738738737
101084,santaca01,2015,CLE,154,550,72,127,85.0,108,3.0,0.2309090909090909,0.3600605143721634
101085,santada01,2015,MIN,91,261,30,56,21.0,6,3.0,0.21455938697318008,0.24074074074074073
